Étape,Translation (Tag),Angle solide (Tag),Translation (GT),Angle solide (GT)
183,0.0,2.6226236430292796e-16,0.0,-1.6908825848870454e-18
184,0.0,2.6226236430292796e-16,0.0,-1.6908825848870454e-18
185,0.0,2.6226236430292796e-16,0.0,-1.6908825848870454e-18
186,0.005655209604928806,11.692018041794231,0.0,10.000004831734797
187,0.0,2.2407125323639653e-15,0.0,6.972433176018919e-16
188,0.0,2.2407125323639653e-15,0.0,6.972433176018919e-16
189,0.0,2.2407125323639653e-15,0.0,6.972433176018919e-16
190,0.0,2.2407125323639653e-15,0.0,6.972433176018919e-16
191,0.0,2.2407125323639653e-15,0.0,6.972433176018919e-16
192,0.0,2.2407125323639653e-15,0.0,6.972433176018919e-16
193,0.0,2.2407125323639653e-15,0.0,6.972433176018919e-16
194,0.0,2.2407125323639653e-15,0.0,6.972433176018919e-16
195,0.018761102678986164,10.641833207528476,0.0,9.999998001545634
196,0.0,-5.812429953844808e-15,0.0,-2.86367164868868e-16
197,0.0,-5.812429953844808e-15,0.0,-2.86367164868868e-16
198,0.0,-5.812429953844808e-15,0.0,-2.86367164868868e-16
199,0.0,-5.812429953844808e-15,0.0,-2.86367164868868e-16
200,0.0,-5.812429953844808e-15,0.0,-2.86367164868868e-16
201,0.0,-5.812429953844808e-15,0.0,-2.86367164868868e-16
202,0.0,-5.812429953844808e-15,0.0,-2.86367164868868e-16
203,0.011829197746033913,-10.135790589569739,0.0,-2.86367164868868e-16
204,0.017859798375534273,10.972384025999451,0.0,-2.86367164868868e-16
205,0.014602588577069102,11.016881795710528,0.0,9.99999800154564
206,0.0,2.191709594875014e-14,0.0,1.7494606443041876e-14
207,0.0,2.191709594875014e-14,0.0,1.7494606443041876e-14
208,0.000745354266587048,10.342030989355685,0.0,10.000004831734802
209,0.0,5.630654931774259e-15,0.0,4.722059032689538e-15
210,0.0,5.630654931774259e-15,0.0,4.722059032689538e-15
211,0.0,5.630654931774259e-15,0.0,4.722059032689538e-15
212,0.0,5.630654931774259e-15,0.0,4.722059032689538e-15
213,0.0,5.630654931774259e-15,0.0,4.722059032689538e-15
214,0.0,5.630654931774259e-15,0.0,4.722059032689538e-15
215,0.01646267031560507,10.04809479396346,0.0,9.999998001545638
216,0.0,1.138072153066456e-14,0.0,1.860408625073694e-14
217,0.0,1.138072153066456e-14,0.0,1.860408625073694e-14
218,3.2154582851915376e-11,11.874832199009527,0.0,9.99999800154564
219,0.0,7.055297384324281e-16,0.0,7.779561235381072e-15
220,0.0,7.055297384324281e-16,0.0,7.779561235381072e-15
221,0.0,7.055297384324281e-16,0.0,7.779561235381072e-15
222,0.0,7.055297384324281e-16,0.0,7.779561235381072e-15
223,0.0,7.055297384324281e-16,0.0,7.779561235381072e-15
224,0.014719048771870894,11.147903457791035,0.0,9.999998001545631
225,0.0,-1.4422432647474265e-14,0.0,-3.053859531865705e-15
226,0.0,-1.4422432647474265e-14,0.0,-3.053859531865705e-15
227,0.0,-1.4422432647474265e-14,0.0,-3.053859531865705e-15
228,0.0,-1.4422432647474265e-14,0.0,-3.053859531865705e-15
229,0.0,-1.4422432647474265e-14,0.0,-3.053859531865705e-15
230,0.001619917324289713,-8.207003475537881,0.0,-3.053859531865705e-15
231,0.0,3.0492087748705893e-15,0.0,-3.053859531865705e-15
232,0.0005468154374165899,10.664710038974407,0.0,9.99999800154563
233,0.0,1.3205042904167968e-23,0.0,-1.3873726909383144e-14
234,0.0,1.3205042904167968e-23,0.0,-1.3873726909383144e-14
235,0.011087246300929337,11.37538856754494,0.0,9.999998001545602
