Index,Real_X,Real_Y,Real_Z,Estimated_X,Estimated_Y,Estimated_Z,RANSAC_X,RANSAC_Y,RANSAC_Z
0,0.2158231532110339,0.022008179455416676,1.1085495216556076,0.21582328471837187,0.02200819139045329,1.108549370163453,0.215790993025854,0.022005144685912487,1.1085869997876916
1,0.2158231532110339,0.022008179455416676,1.1085495216556076,0.21582328471837187,0.02200819139045329,1.108549370163453,0.215790993025854,0.022005144685912487,1.1085869997876916
2,0.21582218634989697,0.022007787655347753,1.1085507234801406,0.21582328471837187,0.02200819139045329,1.108549370163453,0.215790993025854,0.022005144685912487,1.1085869997876916
3,0.2158211313460477,0.022007392617199185,1.1085520272958584,0.21582183835004487,0.022007632829998514,1.108551160841042,0.215790993025854,0.022005144685912487,1.1085869997876916
4,0.21582011699444636,0.022007011778706436,1.108553279886428,0.2158206318626119,0.022007188499706842,1.108552647692572,0.215790993025854,0.022005144685912487,1.1085869997876916
5,0.2158190958345172,0.02200666190682943,1.1085545320239634,0.21581933368565176,0.022006757669813304,1.108554237458483,0.215790993025854,0.022005144685912487,1.1085869997876916
6,0.2158180683409598,0.02200634305125339,1.1085557830975425,0.21581933368565176,0.022006757669813304,1.108554237458483,0.215790993025854,0.022005144685912487,1.1085869997876916
7,0.21581703830606735,0.022006040688663547,1.108557033770671,0.21581803086218798,0.022006333835881797,1.1085558284226833,0.215790993025854,0.022005144685912487,1.1085869997876916
8,0.21581600815462815,0.022005746496274764,1.1085582816357697,0.21581645912610092,0.022005865597144236,1.1085577377719362,0.215790993025854,0.022005144685912487,1.1085869997876916
9,0.21581497771909108,0.022005463562060006,1.1085595269958188,0.21581510929884473,0.022005500591337324,1.1085593678875392,0.215790993025854,0.022005144685912487,1.1085869997876916
10,0.2158139881038974,0.02200520523433435,1.1085607196075054,0.21581510929884473,0.022005500591337324,1.1085593678875392,0.215790993025854,0.022005144685912487,1.1085869997876916
11,0.2158129158513235,0.022004940954416543,1.1085620081030267,0.21581375929086177,0.022005147219656074,1.1085609951631277,0.215790993025854,0.022005144685912487,1.1085869997876916
12,0.21581188534254514,0.02200470129173779,1.1085632418572902,0.2158124783599895,0.022004839613494198,1.108562531515382,0.215790993025854,0.022005144685912487,1.1085869997876916
13,0.215810856653688,0.022004472163425777,1.1085644710317508,0.21581111591778068,0.02200452788635232,1.1085641617361945,0.215790993025854,0.022005144685912487,1.1085869997876916
14,0.21580987117533806,0.022004262458189365,1.1085656458491269,0.21581111591778068,0.02200452788635232,1.1085641617361945,0.215790993025854,0.022005144685912487,1.1085869997876916
15,0.21593821904468524,0.02143294442412458,1.1085668685172414,0.21580966430778448,0.022004218775079937,1.108565892343458,0.215790993025854,0.022005144685912487,1.1085869997876916
16,0.21756610594580744,0.012008020196429402,1.1085679082590876,0.2167595775091482,0.017349015973755044,1.1085675140116482,0.215790993025854,0.022005144685912487,1.1085869997876916
17,0.21827516723641627,-0.002303425688226614,1.1085680502327842,0.2183019080708668,0.00019526825160731676,1.108568113258217,0.215790993025854,0.022005144685912487,1.1085869997876916
18,0.21727778283127136,-0.014161605840824886,1.1085668427407875,0.2183019080708668,0.00019526825160731676,1.108568113258217,0.215790993025854,0.022005144685912487,1.1085869997876916
19,0.2168136078669613,-0.01705855661796456,1.1085647762501178,0.2172152680708992,-0.014585157480931699,1.1085667410954585,0.215790993025854,0.022005144685912487,1.1085869997876916
20,0.21681489302526086,-0.017061456289138157,1.1085627163257499,0.21681350078495942,-0.01706246478940887,1.108564089534513,0.215790993025854,0.022005144685912487,1.1085869997876916
21,0.21681666040436154,-0.017061512852095298,1.108560669608885,0.21681613263243626,-0.017061403488308535,1.1085612963991611,0.215790993025854,0.022005144685912487,1.1085869997876916
22,0.2168184047882596,-0.017061590768192123,1.108558652038246,0.21681838759401728,-0.017061588649378123,1.1085586724534577,0.215790993025854,0.022005144685912487,1.1085869997876916
23,0.2168201226840621,-0.01706168662609927,1.108556662908198,0.21681838759401728,-0.017061588649378123,1.1085586724534577,0.215790993025854,0.022005144685912487,1.1085869997876916
24,0.21682181452477245,-0.01706178269191924,1.1085547045675004,0.21682071887829135,-0.01706169006556557,1.1085559797514577,0.215790993025854,0.022005144685912487,1.1085869997876916
25,0.21682347523128292,-0.01706190675162145,1.108552775968045,0.2168230803359048,-0.01706188938464681,1.1085532313102155,0.215790993025854,0.022005144685912487,1.1085869997876916
26,0.21682497668887413,-0.01706204453189178,1.1085510259139306,0.2168230803359048,-0.01706188938464681,1.1085532313102155,0.215790993025854,0.022005144685912487,1.1085869997876916
27,0.21695425949531527,-0.016321971567570846,1.1085489644542226,0.21682536886016113,-0.01706209261415559,1.1085505660339834,0.215790993025854,0.022005144685912487,1.1085869997876916
28,0.21807115017501483,-0.006987610421832415,1.1085475357321257,0.21736131737156406,-0.013690439720723369,1.108548268454391,0.215790993025854,0.022005144685912487,1.1085869997876916
29,0.2180451286850445,0.007344186271326457,1.108547505774761,0.21813199670922145,0.006074906395497903,1.1085474525518242,0.215790993025854,0.022005144685912487,1.1085869997876916
30,0.21643832317801448,0.019137520354322427,1.1085486318909494,0.21813199670922145,0.006074906395497903,1.1085474525518242,0.215790993025854,0.022005144685912487,1.1085869997876916
31,0.21582296886988805,0.02200671562503776,1.1085501606072585,0.21596677499041617,0.021374767829735575,1.1085491787118364,0.215790993025854,0.022005144685912487,1.1085869997876916
32,0.2158210795884145,0.022009081118930223,1.1085516907761324,0.21582174122311493,0.02200893058023823,1.1085509776333398,0.215790993025854,0.022005144685912487,1.1085869997876916
