image_n,image_n_plus_1,erreur_3D,erreur_solide
image_0018.jpg,image_0019.jpg,0.0,2.3847911536768712e-17
image_0019.jpg,image_0020.jpg,0.0,2.3847911536768712e-17
image_0020.jpg,image_0021.jpg,0.0,2.3847911536768712e-17
image_0021.jpg,image_0022.jpg,0.0,2.3847911536768712e-17
image_0022.jpg,image_0023.jpg,0.0,2.3847911536768712e-17
image_0023.jpg,image_0024.jpg,0.0,2.3847911536768712e-17
image_0024.jpg,image_0025.jpg,0.0,2.3847911536768712e-17
image_0025.jpg,image_0026.jpg,0.0,2.3847911536768712e-17
image_0026.jpg,image_0027.jpg,0.0,2.3847911536768712e-17
image_0027.jpg,image_0040.jpg,0.0023608480631252034,0.5537841488780582
image_0040.jpg,image_0041.jpg,0.0,2.0359936741472844e-17
image_0041.jpg,image_0042.jpg,0.0,2.0359936741472844e-17
image_0042.jpg,image_0043.jpg,0.0,2.0359936741472844e-17
image_0043.jpg,image_0044.jpg,0.0,2.0359936741472844e-17
image_0044.jpg,image_0045.jpg,0.0,2.0359936741472844e-17
image_0045.jpg,image_0046.jpg,0.0,2.0359936741472844e-17
image_0046.jpg,image_0067.jpg,0.008625339578652786,0.33655602552440805
image_0067.jpg,image_0068.jpg,0.0,-3.156474718508307e-17
image_0068.jpg,image_0069.jpg,0.0,-3.156474718508307e-17
image_0069.jpg,image_0070.jpg,0.0,-3.156474718508307e-17
image_0070.jpg,image_0071.jpg,0.0,-3.156474718508307e-17
image_0071.jpg,image_0090.jpg,0.006442782452395183,0.7853508030353813
image_0090.jpg,image_0091.jpg,0.0,-1.6003097636696783e-18
image_0091.jpg,image_0092.jpg,0.0,-1.6003097636696783e-18
image_0092.jpg,image_0093.jpg,0.0,-1.6003097636696783e-18
image_0093.jpg,image_0094.jpg,0.0,-1.6003097636696783e-18
image_0094.jpg,image_0114.jpg,1.7488258068381557e-10,1.5707963252211792
image_0114.jpg,image_0115.jpg,0.0,8.412245691252531e-18
image_0115.jpg,image_0116.jpg,0.0,8.412245691252531e-18
image_0116.jpg,image_0117.jpg,0.0,8.412245691252531e-18
image_0117.jpg,image_0118.jpg,0.0,8.412245691252531e-18
image_0118.jpg,image_0119.jpg,0.0,8.412245691252531e-18
image_0119.jpg,image_0120.jpg,0.0,8.412245691252531e-18
image_0120.jpg,image_0121.jpg,0.0,8.412245691252531e-18
image_0121.jpg,image_0122.jpg,0.0,8.412245691252531e-18
image_0122.jpg,image_0123.jpg,0.0,8.412245691252531e-18
image_0123.jpg,image_0141.jpg,4.470074265494737e-09,1.5707963310897237
image_0141.jpg,image_0142.jpg,0.0,-1.6425500433720059e-18
image_0142.jpg,image_0143.jpg,0.0,-1.6425500433720059e-18
image_0143.jpg,image_0144.jpg,0.0,-1.6425500433720059e-18
image_0144.jpg,image_0145.jpg,0.0,-1.6425500433720059e-18
image_0145.jpg,image_0146.jpg,0.0,-1.6425500433720059e-18
image_0146.jpg,image_0147.jpg,0.0,-1.6425500433720059e-18
image_0147.jpg,image_0148.jpg,0.0,-1.6425500433720059e-18
image_0148.jpg,image_0149.jpg,0.0,-1.6425500433720059e-18
image_0149.jpg,image_0150.jpg,0.0,-1.6425500433720059e-18
image_0150.jpg,image_0167.jpg,0.009366051158074196,1.6073308776854445
image_0167.jpg,image_0168.jpg,0.0,8.327615227080292e-17
image_0168.jpg,image_0169.jpg,0.0,8.327615227080292e-17
image_0169.jpg,image_0170.jpg,0.0,8.327615227080292e-17
image_0170.jpg,image_0171.jpg,0.0,8.327615227080292e-17
image_0171.jpg,image_0187.jpg,0.009920440898830457,-0.19732133800400192
image_0187.jpg,image_0188.jpg,0.0034604610014411083,0.05347040237035625
image_0188.jpg,image_0189.jpg,0.0,-6.56408800706633e-17
image_0189.jpg,image_0190.jpg,0.0,-6.56408800706633e-17
image_0190.jpg,image_0191.jpg,0.0,-6.56408800706633e-17
image_0191.jpg,image_0192.jpg,0.0,-6.56408800706633e-17
image_0192.jpg,image_0193.jpg,0.0,-6.56408800706633e-17
image_0193.jpg,image_0194.jpg,0.0,-6.56408800706633e-17
image_0194.jpg,image_0195.jpg,0.0,-6.56408800706633e-17
image_0195.jpg,image_0196.jpg,0.0,-6.56408800706633e-17
image_0196.jpg,image_0285.jpg,0.004062958689350204,0.9262489504431801
image_0285.jpg,image_0286.jpg,0.0,-3.7536185252878495e-17
image_0286.jpg,image_0287.jpg,0.0,-3.7536185252878495e-17
image_0287.jpg,image_0288.jpg,0.0,-3.7536185252878495e-17
image_0288.jpg,image_0289.jpg,0.0,-3.7536185252878495e-17
image_0289.jpg,image_0290.jpg,0.0,-3.7536185252878495e-17
image_0290.jpg,image_0291.jpg,0.0,-3.7536185252878495e-17
image_0291.jpg,image_0292.jpg,0.0,-3.7536185252878495e-17
image_0292.jpg,image_0305.jpg,0.011068516876678692,-0.2740490457639619
image_0305.jpg,image_0306.jpg,0.0,-1.1069077613616895e-16
image_0306.jpg,image_0307.jpg,0.0,-1.1069077613616895e-16
image_0307.jpg,image_0308.jpg,0.0,-1.1069077613616895e-16
image_0308.jpg,image_0309.jpg,0.0,-1.1069077613616895e-16
image_0309.jpg,image_0310.jpg,0.0,-1.1069077613616895e-16
image_0310.jpg,image_0311.jpg,0.0,-1.1069077613616895e-16
