,Vérité terrain (Translation),RANSAC (Translation),Différence (Translation),Vérité terrain (Rotation),RANSAC (Rotation),Différence (Rotation)
X,0.21491984715153725,0.2158108745781673,-0.0008910274266300533,-1.6382236615696404,-1.5709525303574916,-0.06727113121214878
Y,0.015154573458560174,0.02200705221226344,-0.006852478753703265,3.5713467925005034e-17,-3.7007434154171886e-16,4.057878094667239e-16
Z,1.1085773223868727,1.1085638264014963,1.3495985376366093e-05,-1.5708043510569225,-1.5707227228888527,-8.162816806978057e-05
